Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,4,16,6,5000,0.3,0.6,1,10000,22,96,1224.57387,10138.3599,11403.58865,876.916934,3244348312,3244348312,0.89509,,,
NeuRoute,110,17,6,5000,0.25,0.7,1,10000,22,96,1158.699962,9844.785497,11041.54311,905.670512,3154962209,3154962209,0.89491,,,
NeuRoute,103,17,5,8000,0.3,0.6,1,10000,22,96,1159.658154,14386.97711,15596.53394,641.168098,4668871628,4668871628,0.89474,,,
NeuRoute,45,16,7,6000,0.25,0.5,1,10000,22,96,1006.974378,11418.4008,12466.73556,802.134605,3685603568,3685603568,0.8947,,,
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1321.861722,10371.07003,11735.65618,852.104037,3297948253,3297948253,0.8946,,,
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1325.935065,10408.78404,11778.83096,848.980687,3297948253,3297948253,0.8946,,,
NeuRoute,1,16,6,5000,0.36,0.7,1,10000,22,96,1324.704619,10302.28887,11671.61313,856.779598,3297948253,3297948253,0.8946,,,
NeuRoute,1,16,6,5000,0.36,0.7,1,10000,22,96,1327.692021,10317.04015,11689.37033,855.478073,3297948253,3297948253,0.8946,,,
NeuRoute,37,16,7,5000,0.25,0.6,1,10000,22,96,1116.780599,9810.338833,10965.81678,911.924775,3160700811,3160700811,0.8941,,,
NeuRoute,109,17,6,5000,0.25,0.6,1,10000,22,96,1095.437938,9945.560138,11079.5054,902.567366,3156715099,3156715099,0.89386,,,
NeuRoute,117,17,6,6000,0.25,0.5,1,10000,22,96,982.826497,11427.94799,12452.02718,803.082089,3684121929,3684121929,0.89378,,,
NeuRoute,3,16,7,5000,0.36,0.5,1,10000,22,96,1378.541756,11406.42909,12869.87703,777.008201,3522765801,3522765801,0.8935,1124.42,1271.36,2395.79
NeuRoute,3,16,7,5000,0.36,0.5,1,10000,22,96,1378.541756,11406.42909,12869.87703,777.008201,3522765801,3522765801,0.8935,1124.42,1271.36,2395.79
NeuRoute,3,16,7,5000,0.36,0.5,1,10000,22,96,1392.839228,10883.29766,12357.61054,809.217929,3522765801,3522765801,0.8935,1124.42,1271.36,2395.79
NeuRoute,3,16,7,5000,0.36,0.5,1,10000,22,96,1378.541756,11406.42909,12869.87703,777.008201,3522765801,3522765801,0.8935,,,
NeuRoute,3,16,7,5000,0.36,0.5,1,10000,22,96,1392.839228,10883.29766,12357.61054,809.217929,3522765801,3522765801,0.8935,,,
NeuRoute,42,16,7,5000,0.36,0.5,1,10000,22,96,1397.360189,11146.49462,12595.01533,793.964893,3522765801,3522765801,0.8935,,,
NeuRoute,98,17,5,7000,0.36,0.7,1,10000,22,96,1347.544842,13289.14708,14685.03198,680.96549,4267145339,4267145339,0.89269,,,
NeuRoute,114,17,6,5000,0.36,0.5,1,10000,22,96,1333.549322,10980.30783,12363.34358,808.842684,3472997514,3472997514,0.89264,,,
NeuRoute,97,17,5,7000,0.36,0.6,1,10000,22,96,1246.997738,13271.56109,14566.35728,686.513437,4271989123,4271989123,0.89214,,,
NeuRoute,18,16,7,5000,0.36,0.6,1,10000,22,96,1396.005799,10556.18622,12000.14085,833.323552,3371665078,3371665078,0.89205,,,
NeuRoute,18,16,7,5000,0.36,0.6,1,10000,22,96,1396.845434,10620.68384,12067.16684,828.694932,3371665078,3371665078,0.89205,,,
NeuRoute,95,17,5,7000,0.3,0.7,1,10000,22,96,1213.55744,12997.4781,14256.80771,701.419294,4191177232,4191177232,0.89191,,,
NeuRoute,39,16,7,5000,0.3,0.5,1,10000,22,96,1177.708411,10447.6524,11668.73262,856.9911,3321487923,3321487923,0.89152,,,
NeuRoute,2,16,6,5000,0.25,0.7,1,10000,22,96,1084.96583,9797.392485,10918.9348,915.840252,3132842857,3132842857,0.89137,,,
NeuRoute,94,17,5,7000,0.3,0.6,1,10000,22,96,1124.453647,12912.81995,14083.09091,710.071394,4194946281,4194946281,0.89116,,,
NeuRoute,111,17,6,5000,0.3,0.5,1,10000,22,96,1144.646142,10352.51617,11540.13984,866.540626,3302357909,3302357909,0.89104,,,
NeuRoute,9,16,6,6000,0.25,0.5,1,10000,22,96,918.634102,11368.02157,12328.2501,811.145128,3657379217,3657379217,0.89038,,,
NeuRoute,1,16,6,5000,0.25,0.6,1,10000,22,96,1031.210326,9659.912277,10776.43667,927.950519,3134511899,3134511899,0.89022,,,
NeuRoute,101,17,5,8000,0.25,0.7,1,10000,22,96,1042.011242,14023.84795,15112.49336,661.704178,4534408350,4534408350,0.8901,,,
NeuRoute,105,17,5,8000,0.36,0.5,1,10000,22,96,1113.697098,14855.42842,16021.39597,624.165336,4766035636,4766035636,0.88999,,,
NeuRoute,100,17,5,8000,0.25,0.6,1,10000,22,96,983.218113,13953.66704,14984.5164,667.355538,4536405049,4536405049,0.88946,,,
NeuRoute,9,16,6,5000,0.36,0.5,1,10000,22,96,1179.662505,10812.27062,12065.57185,828.80448,3368665852,3368665852,0.88919,1124.42,1271.36,2395.79
NeuRoute,9,16,6,5000,0.36,0.5,1,10000,22,96,1179.662505,10812.27062,12065.57185,828.80448,3368665852,3368665852,0.88919,1124.42,1271.36,2395.79
NeuRoute,9,16,6,5000,0.36,0.5,1,10000,22,96,1184.682571,10538.89023,11799.79907,847.472058,3368665852,3368665852,0.88919,1124.42,1271.36,2395.79
